created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2024-04-12T14:47:57+00:00,417,27.1,73.5,,,,
2024-04-12T14:48:33+00:00,418,27.2,73.5,,,,
2024-04-12T14:48:49+00:00,419,27.2,73.6,,,,
2024-04-12T14:49:07+00:00,420,27.1,73.5,,,,
2024-04-12T14:49:34+00:00,421,27.2,73.4,,,,
2024-04-12T14:50:21+00:00,422,27.2,73.4,,,,
2024-04-12T14:50:39+00:00,423,27.3,73.3,,,,
2024-04-12T14:51:02+00:00,424,27.2,73.6,,,,
2024-04-12T14:51:20+00:00,425,27.2,73.4,,,,
2024-04-12T14:51:39+00:00,426,27.3,73.3,,,,
2024-04-12T14:51:55+00:00,427,27.2,73.5,,,,
2024-04-12T14:52:18+00:00,428,27.2,73.4,,,,
2024-04-12T14:52:41+00:00,429,27.3,73.2,,,,
2024-04-12T14:53:24+00:00,430,27.1,73.4,,,,
2024-04-12T14:53:50+00:00,431,27.2,73.2,,,,
2024-04-12T14:54:14+00:00,432,27.2,73.0,,,,
2024-04-12T14:54:36+00:00,433,27.3,72.9,,,,
2024-04-12T14:54:54+00:00,434,27.2,73.2,,,,
2024-04-12T14:55:22+00:00,435,27.1,73.0,,,,
2024-04-12T14:55:51+00:00,436,27.2,73.0,,,,
2024-04-12T14:56:09+00:00,437,27.2,73.2,,,,
2024-04-12T14:56:40+00:00,438,27.2,73.5,,,,
2024-04-12T14:57:05+00:00,439,27.2,73.4,,,,
2024-04-12T14:57:25+00:00,440,27.2,73.3,,,,
2024-04-12T14:57:55+00:00,441,27.3,73.1,,,,
2024-04-12T14:58:14+00:00,442,27.3,73.1,,,,
2024-04-12T14:59:01+00:00,443,27.2,73.4,,,,
2024-04-12T14:59:36+00:00,444,27.3,73.1,,,,
2024-04-12T14:59:52+00:00,445,27.2,73.4,,,,
2024-04-12T15:00:23+00:00,446,27.1,73.2,,,,
2024-04-12T15:00:39+00:00,447,27.1,73.2,,,,
2024-04-12T15:01:05+00:00,448,27.1,73.0,,,,
2024-04-12T15:01:23+00:00,449,27.1,73.2,,,,
2024-04-12T15:01:49+00:00,450,27.2,73.2,,,,
2024-04-12T15:02:08+00:00,451,27.2,73.3,,,,
2024-04-12T15:02:27+00:00,452,27.2,73.3,,,,
2024-04-12T15:02:50+00:00,453,27.2,73.2,,,,
2024-04-12T15:03:09+00:00,454,27.0,73.3,,,,
2024-04-12T15:03:25+00:00,455,27.1,73.4,,,,
2024-04-12T15:03:57+00:00,456,27.2,73.4,,,,
2024-04-12T15:04:17+00:00,457,27.0,73.4,,,,
2024-04-12T15:04:36+00:00,458,27.3,73.3,,,,
2024-04-12T15:04:59+00:00,459,27.2,73.4,,,,
2024-04-12T15:05:22+00:00,460,27.0,73.5,,,,
2024-04-12T15:05:43+00:00,461,27.1,73.5,,,,
2024-04-12T15:06:00+00:00,462,27.1,73.4,,,,
2024-04-12T15:06:29+00:00,463,27.2,73.3,,,,
2024-04-12T15:06:59+00:00,464,27.1,73.2,,,,
2024-04-12T15:07:16+00:00,465,27.2,73.3,,,,
2024-04-12T15:07:35+00:00,466,27.1,73.4,,,,
2024-04-12T15:08:17+00:00,467,27.2,73.3,,,,
2024-04-12T15:08:35+00:00,468,27.0,73.4,,,,
2024-04-12T15:09:02+00:00,469,27.0,73.2,,,,
2024-04-12T15:09:23+00:00,470,27.1,73.6,,,,
2024-04-12T15:09:49+00:00,471,27.1,73.2,,,,
2024-04-12T15:10:25+00:00,472,27.2,73.0,,,,
2024-04-12T15:10:51+00:00,473,27.2,73.0,,,,
2024-04-12T15:11:19+00:00,474,27.1,73.4,,,,
2024-04-12T15:11:41+00:00,475,27.1,73.0,,,,
2024-04-12T15:12:19+00:00,476,27.2,73.1,,,,
2024-04-12T15:12:40+00:00,477,27.1,73.1,,,,
2024-04-12T15:13:05+00:00,478,27.1,73.4,,,,
2024-04-12T15:13:27+00:00,479,27.1,73.0,,,,
2024-04-12T15:13:52+00:00,480,27.0,73.4,,,,
2024-04-12T15:14:10+00:00,481,27.2,73.1,,,,
2024-04-12T15:14:26+00:00,482,27.0,73.0,,,,
2024-04-12T15:14:41+00:00,483,27.1,73.0,,,,
2024-04-12T15:14:57+00:00,484,27.1,73.2,,,,
2024-04-12T15:15:23+00:00,485,27.0,73.2,,,,
2024-04-12T15:15:42+00:00,486,27.1,73.2,,,,
2024-04-12T15:16:09+00:00,487,27.0,73.0,,,,
2024-04-12T15:16:45+00:00,488,27.2,73.1,,,,
2024-04-12T15:17:39+00:00,489,27.1,73.2,,,,
2024-04-12T15:18:00+00:00,490,27.1,73.3,,,,
2024-04-12T15:18:25+00:00,491,27.0,73.2,,,,
2024-04-12T15:18:52+00:00,492,27.0,73.6,,,,
2024-04-12T15:19:09+00:00,493,27.1,73.3,,,,
2024-04-12T15:19:55+00:00,494,27.2,73.2,,,,
2024-04-12T15:20:23+00:00,495,27.1,73.4,,,,
2024-04-12T15:20:39+00:00,496,27.1,73.3,,,,
2024-04-12T15:20:56+00:00,497,27.2,73.4,,,,
2024-04-12T15:21:14+00:00,498,27.2,73.6,,,,
2024-04-12T15:21:38+00:00,499,27.1,73.3,,,,
2024-04-12T15:21:55+00:00,500,27.1,73.5,,,,
2024-04-12T15:22:14+00:00,501,27.0,73.3,,,,
2024-04-12T15:22:49+00:00,502,27.1,73.4,,,,
2024-04-12T15:23:14+00:00,503,27.1,73.6,,,,
2024-04-12T15:23:40+00:00,504,27.0,73.4,,,,
2024-04-12T15:24:09+00:00,505,27.1,73.6,,,,
2024-04-12T15:24:28+00:00,506,27.0,73.5,,,,
2024-04-12T15:24:44+00:00,507,27.0,73.6,,,,
2024-04-12T15:25:02+00:00,508,27.1,73.5,,,,
2024-04-12T15:25:29+00:00,509,27.1,73.5,,,,
2024-04-12T15:25:52+00:00,510,27.0,73.4,,,,
2024-04-12T15:26:23+00:00,511,27.0,73.3,,,,
2024-04-12T15:26:43+00:00,512,27.0,73.3,,,,
2024-04-12T15:27:01+00:00,513,27.2,73.5,,,,
2024-04-12T15:27:24+00:00,514,27.1,73.4,,,,
2024-04-12T15:27:47+00:00,515,27.0,73.2,,,,
2024-04-12T15:28:28+00:00,516,27.0,73.4,,,,
2024-04-12T15:28:47+00:00,517,27.1,73.2,,,,
2024-04-12T15:29:02+00:00,518,27.0,73.2,,,,
2024-04-12T15:29:19+00:00,519,27.0,73.2,,,,
2024-04-12T15:29:34+00:00,520,27.1,73.2,,,,
2024-04-12T15:29:56+00:00,521,27.1,73.4,,,,
2024-04-12T15:30:14+00:00,522,27.1,73.2,,,,
2024-04-12T15:30:43+00:00,523,27.0,73.4,,,,
2024-04-12T15:31:15+00:00,524,27.1,73.3,,,,
2024-04-12T15:31:34+00:00,525,27.1,73.4,,,,
2024-04-12T15:31:59+00:00,526,27.1,73.3,,,,
2024-04-12T15:32:15+00:00,527,27.0,73.3,,,,
2024-04-12T15:32:46+00:00,528,26.9,73.2,,,,
2024-04-12T15:33:13+00:00,529,27.0,73.4,,,,
2024-04-12T15:34:18+00:00,530,27.0,73.4,,,,
2024-04-12T15:34:44+00:00,531,27.0,73.5,,,,
2024-04-12T15:35:01+00:00,532,27.0,73.5,,,,
2024-04-12T15:35:26+00:00,533,27.0,73.4,,,,
2024-04-12T15:36:30+00:00,534,27.0,73.5,,,,
2024-04-12T15:36:59+00:00,535,26.9,73.9,,,,
2024-04-12T15:37:18+00:00,536,27.0,73.6,,,,
2024-04-12T15:37:44+00:00,537,26.9,73.9,,,,
2024-04-12T15:38:01+00:00,538,26.9,73.9,,,,
2024-04-12T15:38:20+00:00,539,27.0,73.6,,,,
2024-04-12T15:38:52+00:00,540,27.0,73.6,,,,
2024-04-12T15:39:50+00:00,541,26.9,73.8,,,,
2024-04-12T15:40:06+00:00,542,27.0,73.9,,,,
2024-04-12T15:40:23+00:00,543,27.0,73.9,,,,
2024-04-12T15:40:48+00:00,544,26.8,73.9,,,,
2024-04-12T15:41:05+00:00,545,26.9,73.8,,,,
2024-04-12T15:41:23+00:00,546,27.0,73.7,,,,
2024-04-12T15:41:48+00:00,547,27.0,73.6,,,,
2024-04-12T15:42:13+00:00,548,26.9,73.8,,,,
2024-04-12T15:42:34+00:00,549,27.0,73.8,,,,
2024-04-12T15:43:02+00:00,550,27.0,73.9,,,,
2024-04-12T15:43:20+00:00,551,26.9,74.0,,,,
2024-04-12T15:43:36+00:00,552,27.0,73.9,,,,
2024-04-12T15:44:04+00:00,553,27.0,73.9,,,,
2024-04-12T15:44:21+00:00,554,27.0,73.8,,,,
2024-04-12T15:45:09+00:00,555,26.9,74.0,,,,
2024-04-12T15:45:33+00:00,556,26.9,74.0,,,,
2024-04-12T15:45:50+00:00,557,26.9,74.2,,,,
2024-04-12T15:46:14+00:00,558,26.9,74.0,,,,
2024-04-12T15:46:31+00:00,559,26.9,74.2,,,,
2024-04-12T15:46:50+00:00,560,26.8,74.2,,,,
2024-04-12T15:47:15+00:00,561,26.9,74.3,,,,
2024-04-12T15:47:44+00:00,562,26.9,74.2,,,,
2024-04-12T15:48:01+00:00,563,26.8,74.2,,,,
2024-04-12T15:48:33+00:00,564,27.0,74.2,,,,
2024-04-12T15:48:49+00:00,565,26.9,74.2,,,,
2024-04-12T15:49:18+00:00,566,26.9,74.2,,,,
2024-04-12T15:49:51+00:00,567,26.9,74.4,,,,
2024-04-12T15:50:08+00:00,568,26.9,74.3,,,,
2024-04-12T15:50:40+00:00,569,26.9,74.4,,,,
2024-04-12T15:50:57+00:00,570,26.9,74.3,,,,
2024-04-12T15:51:13+00:00,571,27.0,74.1,,,,
2024-04-12T15:51:31+00:00,572,26.9,74.3,,,,
2024-04-12T15:51:57+00:00,573,27.0,74.1,,,,
2024-04-12T15:52:24+00:00,574,26.9,74.0,,,,
2024-04-12T15:52:51+00:00,575,26.8,74.0,,,,
2024-04-12T15:53:09+00:00,576,27.0,74.0,,,,
2024-04-12T15:53:26+00:00,577,27.1,73.8,,,,
2024-04-12T15:53:54+00:00,578,27.0,74.2,,,,
2024-04-12T15:54:13+00:00,579,27.0,73.9,,,,
2024-04-12T15:54:40+00:00,580,26.8,74.1,,,,
2024-04-12T15:55:06+00:00,581,27.0,74.1,,,,
2024-04-12T15:55:43+00:00,582,27.0,74.2,,,,
2024-04-12T15:56:12+00:00,583,26.9,74.3,,,,
